DisciplineIncidents_Chart_SeriesGroup_label,DisciplineIncidents_Chart_SeriesGroup_DisciplineIncidents_Chart_CategoryGroup_label,DisciplineIncidents_Chart_SeriesGroup_DisciplineIncidents_Chart_CategoryGroup_Value_Y,,,,,,,,,,,,,
PEABODY ELEM.,2017,0,,,,,,,,,,,,,
ROOSEVELT HIGH,2013,10.7,,,,,,,,,,,,,
ROOSEVELT HIGH,2014,12.5,,,,,,,,,,,,,
ROOSEVELT HIGH,2015,10.4,,,,,,,,,,,,,
ROOSEVELT HIGH,2016,11.4,,,,,,,,,,,,,
ROOSEVELT HIGH,2017,10.2,,,,,,,,,,,,,
SHAW VISUAL/PERF. ARTS CTR.,2013,0,,,,,,,,,,,,,
SHAW VISUAL/PERF. ARTS CTR.,2014,0.3,,,,,,,,,,,,,
SHAW VISUAL/PERF. ARTS CTR.,2015,0.5,,,,,,,,,,,,,
SHAW VISUAL/PERF. ARTS CTR.,2016,0,,,,,,,,,,,,,
SHAW VISUAL/PERF. ARTS CTR.,2017,1.3,,,,,,,,,,,,,
SHENANDOAH ELEM.,2013,0.6,,,,,,,,,,,,,
SHENANDOAH ELEM.,2014,0,,,,,,,,,,,,,
SHENANDOAH ELEM.,2015,1.1,,,,,,,,,,,,,
SHENANDOAH ELEM.,2016,0.6,,,,,,,,,,,,,
SHENANDOAH ELEM.,2017,0,,,,,,,,,,,,,
SHERMAN ELEM. COMM. ED. CTR.,2013,1.3,,,,,,,,,,,,,
SHERMAN ELEM. COMM. ED. CTR.,2014,0,,,,,,,,,,,,,
SHERMAN ELEM. COMM. ED. CTR.,2015,,,,,,,,,,,,,,
SHERMAN ELEM. COMM. ED. CTR.,2016,,,,,,,,,,,,,,
SHERMAN ELEM. COMM. ED. CTR.,2017,,,,,,,,,,,,,,
SIGEL ELEM. COMM. ED. CTR.,2013,0.4,,,,,,,,,,,,,
SIGEL ELEM. COMM. ED. CTR.,2014,0,,,,,,,,,,,,,
