CertificationStatus_Chart_SeriesGroup_label,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_label,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_Value_X,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_Value_Y,,
HERZOG ELEM.  (4900),2015,2015,97.1,,
HERZOG ELEM.  (4900),2016,2016,67.3,,
HERZOG ELEM.  (4900),2017,2017,0,,
HICKEY ELEM.  (4890),2013,2013,100,,
HICKEY ELEM.  (4890),2014,2014,97.4,,
HICKEY ELEM.  (4890),2015,2015,100,,
HICKEY ELEM.  (4890),2016,2016,100,,
HICKEY ELEM.  (4890),2017,2017,0,,
HODGEN ELEM.  (4920),2013,2013,74.6,,
HODGEN ELEM.  (4920),2014,2014,96.5,,
HODGEN ELEM.  (4920),2015,2015,100,,
HODGEN ELEM.  (4920),2016,2016,100,,
HODGEN ELEM.  (4920),2017,2017,0,,
HUMBOLDT ACAD OF HIGHER LRNING  (4960),2013,2013,65.1,,
HUMBOLDT ACAD OF HIGHER LRNING  (4960),2014,2014,95.8,,
HUMBOLDT ACAD OF HIGHER LRNING  (4960),2015,2015,96,,
HUMBOLDT ACAD OF HIGHER LRNING  (4960),2016,2016,100,,
HUMBOLDT ACAD OF HIGHER LRNING  (4960),2017,2017,0,,
JEFFERSON ELEM.  (5020),2013,2013,100,,
JEFFERSON ELEM.  (5020),2014,2014,70.2,,
JEFFERSON ELEM.  (5020),2015,2015,66.7,,
JEFFERSON ELEM.  (5020),2016,2016,66.7,,
JEFFERSON ELEM.  (5020),2017,2017,0,,
KENNARD/CLASSICAL JR. ACAD.  (5030),2013,2013,100,,
KENNARD/CLASSICAL JR. ACAD.  (5030),2014,2014,100,,
KENNARD/CLASSICAL JR. ACAD.  (5030),2015,2015,100,,
KENNARD/CLASSICAL JR. ACAD.  (5030),2016,2016,100,,
KENNARD/CLASSICAL JR. ACAD.  (5030),2017,2017,0,,
LACLEDE ELEM.  (5060),2013,2013,95.7,,
LACLEDE ELEM.  (5060),2014,2014,97.4,,
LACLEDE ELEM.  (5060),2015,2015,100,,
LACLEDE ELEM.  (5060),2016,2016,63.6,,
LACLEDE ELEM.  (5060),2017,2017,0,,
LANGSTON MIDDLE  (3240),2013,2013,77.9,,
LANGSTON MIDDLE  (3240),2014,2014,84.6,,
LANGSTON MIDDLE  (3240),2015,2015,77.4,,
LANGSTON MIDDLE  (3240),2016,2016,80,,
LANGSTON MIDDLE  (3240),2017,2017,0,,
LEXINGTON ELEM.  (5100),2013,2013,100,,
LEXINGTON ELEM.  (5100),2014,2014,95.8,,
LEXINGTON ELEM.  (5100),2015,2015,93.6,,
LEXINGTON ELEM.  (5100),2016,2016,95.8,,
LEXINGTON ELEM.  (5100),2017,2017,0,,
LONG MIDDLE COMMUNITY ED. CTR.  (3260),2013,2013,91.8,,
LONG MIDDLE COMMUNITY ED. CTR.  (3260),2014,2014,67,,
LONG MIDDLE COMMUNITY ED. CTR.  (3260),2015,2015,89.1,,
LONG MIDDLE COMMUNITY ED. CTR.  (3260),2016,2016,89,,
LONG MIDDLE COMMUNITY ED. CTR.  (3260),2017,2017,0,,
L'OUVERTURE MIDDLE  (3280),2013,2013,77.4,,
L'OUVERTURE MIDDLE  (3280),2014,2014,0,,
L'OUVERTURE MIDDLE  (3280),2015,,,,
L'OUVERTURE MIDDLE  (3280),2016,,,,
L'OUVERTURE MIDDLE  (3280),2017,,,,
LYON AT BLOW ELEM.  (5180),2013,2013,83.8,,
LYON AT BLOW ELEM.  (5180),2014,2014,88.6,,
LYON AT BLOW ELEM.  (5180),2015,2015,83.2,,
LYON AT BLOW ELEM.  (5180),2016,2016,76,,
LYON AT BLOW ELEM.  (5180),2017,2017,0,,
MALLINCKRODT A.B.I. ELEM.  (5240),2013,2013,100,,
MALLINCKRODT A.B.I. ELEM.  (5240),2014,2014,75,,
MALLINCKRODT A.B.I. ELEM.  (5240),2015,2015,98,,
MALLINCKRODT A.B.I. ELEM.  (5240),2016,2016,98,,
MALLINCKRODT A.B.I. ELEM.  (5240),2017,2017,0,,
MANN ELEM.  (5260),2013,2013,98.1,,
MANN ELEM.  (5260),2014,2014,96.1,,
MANN ELEM.  (5260),2015,2015,96.3,,
MANN ELEM.  (5260),2016,2016,90.2,,
MANN ELEM.  (5260),2017,2017,0,,
MASON ELEM.  (5340),2013,2013,96.6,,
MASON ELEM.  (5340),2014,2014,97.2,,
MASON ELEM.  (5340),2015,2015,95.9,,
MASON ELEM.  (5340),2016,2016,97,,
MASON ELEM.  (5340),2017,2017,0,,
MCKINLEY CLASS. LEADERSHIP AC.  (1570),2013,2013,98.3,,
MCKINLEY CLASS. LEADERSHIP AC.  (1570),2014,2014,98.5,,
MCKINLEY CLASS. LEADERSHIP AC.  (1570),2015,2015,95.1,,
MCKINLEY CLASS. LEADERSHIP AC.  (1570),2016,2016,89.8,,
MCKINLEY CLASS. LEADERSHIP AC.  (1570),2017,2017,0,,
MERAMEC ELEM.  (5500),2013,2013,94.2,,
MERAMEC ELEM.  (5500),2014,2014,97.4,,
MERAMEC ELEM.  (5500),2015,2015,100,,
MERAMEC ELEM.  (5500),2016,2016,100,,
MERAMEC ELEM.  (5500),2017,2017,0,,
METRO HIGH  (1560),2013,2013,92.2,,
METRO HIGH  (1560),2014,2014,98.4,,
METRO HIGH  (1560),2015,2015,98.4,,
METRO HIGH  (1560),2016,2016,84.2,,
METRO HIGH  (1560),2017,2017,0,,
MILLER CAREER ACADEMY  (1100),2013,2013,94.3,,
MILLER CAREER ACADEMY  (1100),2014,2014,94.6,,
MILLER CAREER ACADEMY  (1100),2015,2015,93.8,,
MILLER CAREER ACADEMY  (1100),2016,2016,96.6,,
MILLER CAREER ACADEMY  (1100),2017,2017,0,,
MONROE ELEM.  (5560),2013,2013,79.7,,
MONROE ELEM.  (5560),2014,2014,95.1,,
MONROE ELEM.  (5560),2015,2015,93.1,,
MONROE ELEM.  (5560),2016,2016,97.9,,
MONROE ELEM.  (5560),2017,2017,0,,
MULLANPHY BOTANICAL GARDENS  (5590),2013,2013,97.9,,
MULLANPHY BOTANICAL GARDENS  (5590),2014,2014,71.7,,
MULLANPHY BOTANICAL GARDENS  (5590),2015,2015,100,,
MULLANPHY BOTANICAL GARDENS  (5590),2016,2016,97.5,,
MULLANPHY BOTANICAL GARDENS  (5590),2017,2017,0,,
NAHED CHAPMAN NEW AMERICAN ACA  (4970),2013,,,,
NAHED CHAPMAN NEW AMERICAN ACA  (4970),2014,,,,
NAHED CHAPMAN NEW AMERICAN ACA  (4970),2015,,,,
NAHED CHAPMAN NEW AMERICAN ACA  (4970),2016,2016,80.3,,
NAHED CHAPMAN NEW AMERICAN ACA  (4970),2017,2017,0,,
OAK HILL ELEM.  (5600),2013,2013,73.6,,
OAK HILL ELEM.  (5600),2014,2014,94.1,,
OAK HILL ELEM.  (5600),2015,2015,97.9,,
OAK HILL ELEM.  (5600),2016,2016,100,,
OAK HILL ELEM.  (5600),2017,2017,0,,
PEABODY ELEM.  (5620),2013,2013,97.3,,
PEABODY ELEM.  (5620),2014,2014,92.1,,
PEABODY ELEM.  (5620),2015,2015,94.7,,
PEABODY ELEM.  (5620),2016,2016,97.2,,
PEABODY ELEM.  (5620),2017,2017,0,,
ROOSEVELT HIGH  (1680),2013,2013,82.2,,
ROOSEVELT HIGH  (1680),2014,2014,95.3,,
ROOSEVELT HIGH  (1680),2015,2015,84.7,,
ROOSEVELT HIGH  (1680),2016,2016,77.3,,
ROOSEVELT HIGH  (1680),2017,2017,0,,
SHAW VISUAL/PERF. ARTS CTR.  (5780),2013,2013,98.4,,
SHAW VISUAL/PERF. ARTS CTR.  (5780),2014,2014,98.3,,
SHAW VISUAL/PERF. ARTS CTR.  (5780),2015,2015,98.3,,
SHAW VISUAL/PERF. ARTS CTR.  (5780),2016,2016,100,,
SHAW VISUAL/PERF. ARTS CTR.  (5780),2017,2017,0,,
SHENANDOAH ELEM.  (5800),2013,2013,100,,
SHENANDOAH ELEM.  (5800),2014,2014,97.1,,
SHENANDOAH ELEM.  (5800),2015,2015,65.9,,
SHENANDOAH ELEM.  (5800),2016,2016,82.1,,
SHENANDOAH ELEM.  (5800),2017,2017,0,,
SHERMAN ELEM. COMM. ED. CTR.  (5840),2013,2013,89.5,,
SHERMAN ELEM. COMM. ED. CTR.  (5840),2014,2014,0,,
SHERMAN ELEM. COMM. ED. CTR.  (5840),2015,,,,
SHERMAN ELEM. COMM. ED. CTR.  (5840),2016,,,,
SHERMAN ELEM. COMM. ED. CTR.  (5840),2017,,,,
SIGEL ELEM. COMM. ED. CTR.  (5860),2013,2013,98,,
SIGEL ELEM. COMM. ED. CTR.  (5860),2014,2014,93.6,,
SIGEL ELEM. COMM. ED. CTR.  (5860),2015,2015,100,,
SIGEL ELEM. COMM. ED. CTR.  (5860),2016,2016,97.4,,
SIGEL ELEM. COMM. ED. CTR.  (5860),2017,2017,0,,
SOLDAN INTERNATIONAL STUDIES  (1730),2013,2013,93.2,,
SOLDAN INTERNATIONAL STUDIES  (1730),2014,2014,94.1,,
SOLDAN INTERNATIONAL STUDIES  (1730),2015,2015,86.6,,
SOLDAN INTERNATIONAL STUDIES  (1730),2016,2016,93,,
SOLDAN INTERNATIONAL STUDIES  (1730),2017,2017,0,,
ST. LOUIS CHILDREN'S HOSPITAL  (6340),2013,2013,0,,
ST. LOUIS CHILDREN'S HOSPITAL  (6340),2014,2014,0,,
ST. LOUIS CHILDREN'S HOSPITAL  (6340),2015,2015,0,,
ST. LOUIS CHILDREN'S HOSPITAL  (6340),2016,2016,0,,
ST. LOUIS CHILDREN'S HOSPITAL  (6340),2017,2017,0,,
STEVENS MIDDLE COMMUNITY ED.  (3400),2013,2013,0,,
STEVENS MIDDLE COMMUNITY ED.  (3400),2014,2014,0,,
STEVENS MIDDLE COMMUNITY ED.  (3400),2015,2015,0,,
STEVENS MIDDLE COMMUNITY ED.  (3400),2016,,,,
STEVENS MIDDLE COMMUNITY ED.  (3400),2017,,,,
STIX EARLY CHILDHOOD CTR.  (5930),2013,2013,100,,
STIX EARLY CHILDHOOD CTR.  (5930),2014,2014,98.1,,
STIX EARLY CHILDHOOD CTR.  (5930),2015,2015,100,,
STIX EARLY CHILDHOOD CTR.  (5930),2016,2016,98,,
STIX EARLY CHILDHOOD CTR.  (5930),2017,2017,0,,
SUMNER HIGH  (1800),2013,2013,84,,
SUMNER HIGH  (1800),2014,2014,89.6,,
SUMNER HIGH  (1800),2015,2015,95.3,,
SUMNER HIGH  (1800),2016,2016,80.4,,
SUMNER HIGH  (1800),2017,2017,0,,
THE COLLEGE PREPARATORY HIGH  (1550),2013,2013,97.2,,
